"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","20","2.8","0.15","0","20","0","0"
"1","1","1","0","0","19","2.6","0.15","0","19","0","0"
"1","1","2","0","0","19","2.7","0.15","0","19","0","0"
"1","1","3","0","0","19","2.8","0.15","0","19","0","0"
"1","1","4","0","0","19","2.7","0.15","0","19","0","0"
"1","1","5","0","0","19","2.6","0.15","0","0","0","0"
"1","1","6","81","83","20","2.4","0.15","79.006","21.755","245.005","220.47"
"1","1","7","118","192","21","2.4","0.15","211.619","25.745","692.927","652.52"
"1","1","8","114","309","22","2.4","0.15","345.048","29.742","1130.426","1074.517"
"1","1","9","131","394","23","2.2","0.15","460.931","33.713","1480.168","1411.866"
"1","1","10","31","352","24","2.2","0.15","355.96","32.25","1131.906","1075.944"
"1","1","11","24","389","25","2.2","0.15","385.397","33.923","1215.053","1156.144"
"1","1","12","34","384","25","2.3","0.15","392.888","33.924","1239.446","1179.673"
"1","1","13","37","385","25","2.2","0.15","393.556","34.119","1243.54","1183.623"
"1","1","14","27","345","25","2.1","0.15","342.534","33.105","1088.351","1033.932"
"1","1","15","28","271","24","1.9","0.15","267.814","30.616","861.839","815.447"
"1","1","16","21","191","23","1.7","0.15","183.686","27.749","597.77","560.734"
"1","1","17","0","101","22","1.7","0.15","91.759","24.382","299.318","272.858"
"1","1","18","0","14","22","2","0.15","12.978","22.294","30.437","13.504"
"1","1","19","0","0","21","2.3","0.15","0","21","0","0"
"1","1","20","0","0","21","2.2","0.15","0","21","0","0"
"1","1","21","0","0","21","2.1","0.15","0","21","0","0"
"1","1","22","0","0","20","2.1","0.15","0","20","0","0"
"1","1","23","0","0","20","2","0.15","0","20","0","0"
"1","2","0","0","0","20","1.8","0.15","0","20","0","0"
"1","2","1","0","0","20","1.7","0.15","0","20","0","0"
"1","2","2","0","0","19","1.7","0.15","0","19","0","0"
"1","2","3","0","0","19","1.6","0.15","0","19","0","0"
"1","2","4","0","0","19","1.5","0.15","0","19","0","0"
"1","2","5","0","0","19","1.6","0.15","0","0","0","0"
"1","2","6","64","82","19","1.9","0.15","77.671","20.91","244.119","219.615"
"1","2","7","100","189","20","2.3","0.15","203.234","24.646","668.601","629.055"
"1","2","8","98","304","21","2.6","0.15","331.853","28.176","1092.494","1037.928"
"1","2","9","114","391","22","2.7","0.15","444.643","31.418","1439.341","1372.485"
"1","2","10","195","464","23","2.6","0.15","600.514","35.933","1909.326","1825.816"
"1","2","11","150","550","23","2.6","0.15","655.759","37.103","2066.305","1977.233"
"1","2","12","200","507","23","2.5","0.15","664.392","37.557","2092.746","2002.737"
"1","2","13","23","301","23","2.3","0.15","302.798","29.881","966.334","916.239"
"1","2","14","15","269","22","1.9","0.15","261.714","28.447","840.531","794.893"
"1","2","15","12","216","22","1.4","0.15","207.429","27.713","669.364","629.791"
"1","2","16","30","200","21","1","0.15","194.971","26.935","637.705","599.255"
"1","2","17","11","107","20","0.7","0.15","98.817","23.264","322.977","295.679"
"1","2","18","0","17","20","0.5","0.15","15.769","20.513","37.897","20.7"
"1","2","19","0","0","20","0.5","0.15","0","20","0","0"
"1","2","20","0","0","19","0.6","0.15","0","19","0","0"
"1","2","21","0","0","19","0.8","0.15","0","19","0","0"
"1","2","22","0","0","19","1","0.15","0","19","0","0"
"1","2","23","0","0","19","1.2","0.15","0","19","0","0"
"1","3","0","0","0","19","1.7","0.15","0","19","0","0"
"1","3","1","0","0","19","2.4","0.15","0","19","0","0"
"1","3","2","0","0","19","2.8","0.15","0","19","0","0"
"1","3","3","0","0","19","3","0.15","0","19","0","0"
"1","3","4","0","0","18","2.9","0.15","0","18","0","0"
"1","3","5","0","0","18","2.7","0.15","0","0","0","0"
"1","3","6","0","22","19","2.7","0.15","20.389","19.435","63.258","45.163"
"1","3","7","0","53","19","2.9","0.15","49.228","20.013","158.005","136.552"
"1","3","8","0","83","20","3.1","0.15","77.251","21.53","247.125","222.514"
"1","3","9","0","110","21","3.3","0.15","102.499","22.96","326.024","298.617"
"1","3","10","20","267","22","3.4","0.15","267.336","27.023","861.176","814.807"
"1","3","11","17","293","22","3.4","0.15","289.36","27.432","929.374","880.589"
"1","3","12","23","290","23","3.5","0.15","294.482","28.442","942.493","893.243"
"1","3","13","159","483","23","3.4","0.15","594.352","34.178","1897.899","1814.795"
"1","3","14","126","449","23","3.2","0.15","516.202","33.036","1659.838","1585.169"
"1","3","15","150","338","22","2.8","0.15","403.696","30.419","1319.559","1256.947"
"1","3","16","276","220","21","1.9","0.15","312.049","28.721","1022.478","970.393"
"1","3","17","230","116","20","1","0.15","141.586","24.224","430.654","399.54"
"1","3","18","73","24","20","0.6","0.15","19.593","20.623","48.333","30.766"
"1","3","19","0","0","20","0.7","0.15","0","20","0","0"
"1","3","20","0","0","20","1","0.15","0","20","0","0"
"1","3","21","0","0","20","1.6","0.15","0","20","0","0"
"1","3","22","0","0","19","2","0.15","0","19","0","0"
"1","3","23","0","0","19","1.9","0.15","0","19","0","0"
"1","4","0","0","0","19","1.4","0.15","0","19","0","0"
"1","4","1","0","0","19","1.2","0.15","0","19","0","0"
"1","4","2","0","0","19","1.4","0.15","0","19","0","0"
"1","4","3","0","0","19","1.8","0.15","0","19","0","0"
"1","4","4","0","0","19","2.1","0.15","0","19","0","0"
"1","4","5","0","0","19","2.3","0.15","0","19","0","0"
"1","4","6","0","10","19","2.4","0.15","9.258","19.209","27.646","10.812"
"1","4","7","0","26","20","2.6","0.15","24.121","20.523","74.747","56.244"
"1","4","8","0","41","21","2.6","0.15","38.111","21.823","118.008","97.972"
"1","4","9","0","55","23","2.5","0.15","51.226","24.123","157.319","135.89"
"1","4","10","53","410","24","2.4","0.15","428.706","33.567","1363.036","1298.884"
"1","4","11","41","458","24","2.2","0.15","468.332","34.846","1477.993","1409.767"
"1","4","12","55","450","25","2","0.15","474.723","36.439","1489.273","1420.648"
"1","4","13","93","466","25","2","0.15","518.855","37.515","1628.803","1555.234"
"1","4","14","73","424","25","1.9","0.15","451.353","36.126","1427.819","1361.372"
"1","4","15","86","326","24","1.7","0.15","353.45","33.113","1137.005","1080.862"
"1","4","16","497","174","23","1.4","0.15","361.321","32.962","1164.575","1107.455"
"1","4","17","406","98","22","1.1","0.15","156.616","26.481","448.148","416.414"
"1","4","18","147","24","21","1","0.15","18.309","21.526","45.423","27.959"
"1","4","19","0","0","21","1.4","0.15","0","21","0","0"
"1","4","20","0","0","21","1.8","0.15","0","21","0","0"
"1","4","21","0","0","20","1.8","0.15","0","20","0","0"
"1","4","22","0","0","20","1.8","0.15","0","20","0","0"
"1","4","23","0","0","20","1.7","0.15","0","20","0","0"
"1","5","0","0","0","20","1.5","0.15","0","20","0","0"
"1","5","1","0","0","19","1.1","0.15","0","19","0","0"
"1","5","2","0","0","19","0.8","0.15","0","19","0","0"
"1","5","3","0","0","19","0.6","0.15","0","19","0","0"
"1","5","4","0","0","19","0.6","0.15","0","19","0","0"
"1","5","5","0","0","19","0.9","0.15","0","19","0","0"
"1","5","6","139","80","19","1.3","0.15","80.383","21.227","241.311","216.907"
"1","5","7","202","187","21","1.6","0.15","233.105","27.134","755.228","712.613"
"1","5","8","207","307","23","1.7","0.15","392.86","33.153","1277.628","1216.502"
"1","5","9","235","390","24","1.9","0.15","531.114","37.122","1691.688","1615.89"
"1","5","10","941","119","26","2","0.15","908.631","48.043","2793.495","2678.656"
"1","5","11","955","125","27","2.1","0.15","995.455","50.65","3013.994","2891.342"
"1","5","12","956","126","27","2","0.15","1008.379","51.438","3040.863","2917.259"
"1","5","13","44","409","27","1.9","0.15","422.667","37.4","1320.098","1257.468"
"1","5","14","34","366","27","1.8","0.15","367.864","36.255","1156.119","1099.299"
"1","5","15","36","288","26","1.5","0.15","288.678","33.774","919.155","870.731"
"1","5","16","126","234","25","1.1","0.15","264.525","32.848","851.04","805.03"
"1","5","17","98","122","24","0.7","0.15","125.199","28.097","390.675","360.978"
"1","5","18","0","24","22","0.6","0.15","21.805","22.699","54.928","37.127"
"1","5","19","0","0","22","0.6","0.15","0","22","0","0"
"1","5","20","0","0","21","0.6","0.15","0","21","0","0"
"1","5","21","0","0","21","0.7","0.15","0","21","0","0"
"1","5","22","0","0","20","0.7","0.15","0","20","0","0"
"1","5","23","0","0","20","0.8","0.15","0","20","0","0"
"1","6","0","0","0","20","1","0.15","0","20","0","0"
"1","6","1","0","0","20","1","0.15","0","20","0","0"
"1","6","2","0","0","19","0.9","0.15","0","19","0","0"
"1","6","3","0","0","19","0.9","0.15","0","19","0","0"
"1","6","4","0","0","19","0.9","0.15","0","19","0","0"
"1","6","5","0","0","19","1.4","0.15","0","19","0","0"
"1","6","6","182","77","20","1.9","0.15","79.795","21.92","232.08","208.002"
"1","6","7","260","179","21","2.1","0.15","244.071","26.777","788.806","745.001"
"1","6","8","263","299","23","2.1","0.15","416.183","32.906","1358.649","1294.653"
"1","6","9","304","371","24","2.1","0.15","564.21","37.393","1799.89","1720.258"
"1","6","10","933","120","25","2","0.15","902.769","46.901","2788.791","2674.119"
"1","6","11","951","123","25","1.9","0.15","990.402","49.502","3013.506","2890.871"
"1","6","12","955","123","26","1.7","0.15","1005.598","51.947","3026.308","2903.22"
"1","6","13","93","467","25","1.4","0.15","520.27","39.284","1621.546","1548.234"
"1","6","14","73","425","25","1.1","0.15","452.754","38.369","1419.197","1353.055"
"1","6","15","79","325","24","0.9","0.15","348.79","34.864","1113.233","1057.932"
"1","6","16","30","204","23","0.7","0.15","199.041","29.558","644.403","605.715"
"1","6","17","8","107","22","0.5","0.15","98.557","25.446","319.615","292.435"
"1","6","18","0","16","21","0.4","0.15","14.836","21.506","37.255","20.08"
"1","6","19","0","0","21","0.4","0.15","0","21","0","0"
"1","6","20","0","0","21","0.4","0.15","0","21","0","0"
"1","6","21","0","0","21","0.3","0.15","0","21","0","0"
"1","6","22","0","0","21","0.2","0.15","0","21","0","0"
"1","6","23","0","0","20","0.1","0.15","0","20","0","0"
"1","7","0","0","0","20","0.1","0.15","0","20","0","0"
"1","7","1","0","0","20","0.3","0.15","0","20","0","0"
"1","7","2","0","0","20","0.5","0.15","0","20","0","0"
"1","7","3","0","0","20","0.6","0.15","0","20","0","0"
"1","7","4","0","0","20","0.7","0.15","0","20","0","0"
"1","7","5","0","0","20","0.9","0.15","0","20","0","0"
"1","7","6","126","78","20","1.2","0.15","77.127","22.192","231.514","207.456"
"1","7","7","199","184","20","1.6","0.15","228.958","26.024","744.472","702.239"
"1","7","8","202","305","21","2","0.15","388.063","30.42","1275.688","1214.631"
"1","7","9","231","386","21","2.3","0.15","524.5","32.97","1698.383","1622.348"
"1","7","10","109","453","22","2.4","0.15","516.196","33.526","1650.189","1575.862"
"1","7","11","83","520","22","2.3","0.15","565.463","34.85","1792.114","1712.758"
"1","7","12","113","500","23","2.3","0.15","576.286","36.099","1819.023","1738.713"
"1","7","13","406","414","23","2.2","0.15","752.815","40.493","2361.223","2261.701"
"1","7","14","315","435","22","2.1","0.15","652.693","37.478","2076.597","1987.161"
"1","7","15","362","306","22","2","0.15","507.244","34.31","1648.063","1573.811"
"1","7","16","130","235","21","1.9","0.15","267.783","27.632","880.431","833.379"
"1","7","17","105","123","20","1.8","0.15","127.871","23.212","406.938","376.664"
"1","7","18","7","25","20","1.7","0.15","22.649","20.558","58.868","40.928"
"1","7","19","0","0","19","1.6","0.15","0","19","0","0"
"1","7","20","0","0","19","1.5","0.15","0","19","0","0"
"1","7","21","0","0","18","1.5","0.15","0","18","0","0"
"1","7","22","0","0","18","1.4","0.15","0","18","0","0"
"1","7","23","0","0","18","1.1","0.15","0","18","0","0"
"1","8","0","0","0","18","0.8","0.15","0","18","0","0"
"1","8","1","0","0","18","0.8","0.15","0","18","0","0"
"1","8","2","0","0","18","0.8","0.15","0","18","0","0"
"1","8","3","0","0","18","0.8","0.15","0","18","0","0"
"1","8","4","0","0","18","0.9","0.15","0","18","0","0"
"1","8","5","0","0","18","1.1","0.15","0","18","0","0"
"1","8","6","167","76","19","1.5","0.15","77.084","21.026","226.415","202.538"
"1","8","7","236","180","20","2","0.15","236.724","25.719","768.746","725.652"
"1","8","8","239","300","21","2.3","0.15","403.019","30.226","1328.443","1265.517"
"1","8","9","277","377","23","2.2","0.15","550.429","35.81","1765.634","1687.217"
"1","8","10","322","430","24","1.9","0.15","678.408","40.74","2125.032","2033.879"
"1","8","11","249","543","24","1.5","0.15","741.551","43.914","2280.205","2183.554"
"1","8","12","331","469","24","1.2","0.15","754.698","45.748","2307.965","2210.33"
"1","8","13","15","196","24","1.1","0.15","197.654","29.825","622.285","584.381"
"1","8","14","8","177","23","0.8","0.15","171.115","28.454","541.415","506.377"
"1","8","15","0","142","22","0.6","0.15","132.046","26.457","420.683","389.922"
"1","8","16","7","172","22","0.4","0.15","161.361","27.794","522.554","488.183"
"1","8","17","0","88","21","0.2","0.15","80.706","24.095","262.13","236.988"
"1","8","18","0","13","21","0.2","0.15","12.046","21.439","30.427","13.494"
"1","8","19","0","0","20","0.4","0.15","0","20","0","0"
"1","8","20","0","0","20","0.6","0.15","0","20","0","0"
"1","8","21","0","0","20","0.7","0.16","0","20","0","0"
"1","8","22","0","0","20","0.7","0.16","0","20","0","0"
"1","8","23","0","0","19","0.8","0.16","0","19","0","0"
"1","9","0","0","0","19","1.1","0.16","0","19","0","0"
"1","9","1","0","0","19","1.4","0.16","0","19","0","0"
"1","9","2","0","0","19","1.6","0.16","0","19","0","0"
"1","9","3","0","0","18","1.7","0.16","0","18","0","0"
"1","9","4","0","0","18","1.5","0.16","0","18","0","0"
"1","9","5","0","0","18","1.3","0.16","0","18","0","0"
"1","9","6","0","65","18","1.4","0.16","58.829","19.63","191.003","168.38"
"1","9","7","20","158","19","1.8","0.16","150.799","22.821","499.39","465.84"
"1","9","8","29","250","21","2.2","0.16","246.191","26.735","806.89","762.445"
"1","9","9","37","327","23","2.5","0.16","331.022","30.264","1066.871","1013.213"
"1","9","10","235","457","24","2.5","0.16","628.554","37.791","1986.965","1900.705"
"1","9","11","184","551","25","2.4","0.16","689.729","40.394","2147.373","2055.429"
"1","9","12","240","502","26","2.2","0.16","699.714","42.23","2165.384","2072.801"
"1","9","13","41","402","26","2.1","0.16","414.217","35.787","1301.283","1239.319"
"1","9","14","31","360","25","1.8","0.16","360.679","34.073","1142.668","1086.324"
"1","9","15","34","285","24","1.5","0.16","285.385","31.684","915.775","867.471"
"1","9","16","239","230","24","1.2","0.16","309.285","32.952","998.024","946.805"
"1","9","17","199","121","23","0.8","0.16","143.42","27.527","436.906","405.57"
"1","9","18","54","26","21","0.5","0.16","22.247","21.742","58.22","40.303"
"1","9","19","0","0","20","0.5","0.16","0","20","0","0"
"1","9","20","0","0","20","0.7","0.16","0","20","0","0"
"1","9","21","0","0","20","0.8","0.16","0","20","0","0"
"1","9","22","0","0","19","0.9","0.16","0","19","0","0"
"1","9","23","0","0","19","1","0.16","0","19","0","0"
"1","10","0","0","0","18","0.9","0.16","0","18","0","0"
"1","10","1","0","0","18","0.7","0.16","0","18","0","0"
"1","10","2","0","0","18","0.5","0.16","0","18","0","0"
"1","10","3","0","0","18","0.4","0.16","0","18","0","0"
"1","10","4","0","0","18","0.4","0.16","0","18","0","0"
"1","10","5","0","0","18","0.9","0.16","0","18","0","0"
"1","10","6","170","74","20","1.4","0.16","75.034","22.016","218.4","194.807"
"1","10","7","251","177","22","1.8","0.16","238.223","27.995","765.221","722.252"
